Date,Open,High,Low,Close,Adj Close,Volume
12/15/2023,1.2771,1.2791,1.2686,1.2771,1.2771,
12/14/2023,1.2622,1.2779,1.2614,1.2623,1.2623,
12/13/2023,1.257,1.2571,1.2506,1.2571,1.2571,
12/12/2023,1.2554,1.2608,1.2519,1.2555,1.2555,
12/11/2023,1.2557,1.2591,1.2536,1.2555,1.2555,
12/8/2023,1.2588,1.2601,1.2505,1.259,1.259,
12/7/2023,1.2558,1.2594,1.2545,1.2559,1.2559,
12/6/2023,1.2595,1.2614,1.2582,1.2594,1.2594,
12/5/2023,1.2634,1.2651,1.2583,1.2634,1.2634,
12/4/2023,1.2712,1.2713,1.2606,1.2713,1.2713,
12/1/2023,1.2632,1.269,1.2616,1.2632,1.2632,
11/30/2023,1.2696,1.271,1.2606,1.2696,1.2696,
11/29/2023,1.2713,1.2733,1.2666,1.2712,1.2712,
11/28/2023,1.2636,1.2714,1.2608,1.2634,1.2634,
11/27/2023,1.2601,1.2644,1.2592,1.26,1.26,
11/24/2023,1.2533,1.2617,1.2525,1.2534,1.2534,
11/23/2023,1.2491,1.2563,1.249,1.249,1.249,
11/22/2023,1.2545,1.2549,1.2449,1.2544,1.2544,
11/21/2023,1.2509,1.2558,1.2506,1.2509,1.2509,
11/20/2023,1.2454,1.251,1.2447,1.2455,1.2455,
11/17/2023,1.2416,1.2442,1.2376,1.2415,1.2415,
11/16/2023,1.2424,1.2455,1.2378,1.2422,1.2422,
11/15/2023,1.2494,1.2499,1.2406,1.2495,1.2495,
11/14/2023,1.228,1.2488,1.2265,1.2281,1.2281,
11/13/2023,1.223,1.2272,1.2225,1.2228,1.2228,
11/10/2023,1.2216,1.2238,1.2189,1.2217,1.2217,
11/9/2023,1.2286,1.2309,1.2254,1.2285,1.2285,
11/8/2023,1.229,1.2301,1.2243,1.2292,1.2292,
11/7/2023,1.2344,1.2348,1.2277,1.2346,1.2346,
11/6/2023,1.2372,1.2429,1.2367,1.2374,1.2374,
